Date,Site Code,Collection,Mooring Code,Sampling Interval,SFLA_count,SFLA_settlement_rate
6/22/11,OR,01,OR01,16,0,0
7/8/11,OR,01,OR02,16,0,0
7/8/11,OR,02,OR03,16,0,0
7/8/11,OR,03,OR01,16,0,0
7/8/11,CF,01,CF01,16,0,0
7/25/11,OR,01,OR02,17,0,0
7/25/11,OR,03,OR01,17,0,0
8/2/11,OR,01,OR02,8,0,0
8/2/11,OR,02,OR01,8,0,0
8/2/11,OR,03,OR04,8,0,0
8/2/11,CF,01,CF03,8,0,0
8/11/11,OR,01,OR02,9,0,0
8/11/11,OR,02,OR01,9,0,0
8/11/11,OR,03,OR04,9,0,0
8/11/11,CF,01,CF03,9,0,0
8/11/11,CF,02,CF04,9,0,0
8/11/11,CF,03,CF05,9,0,0
8/29/11,OR,01,OR02,18,0,0
8/29/11,OR,02,OR01,18,0,0
8/29/11,OR,03,OR04,18,0,0
8/29/11,CF,01,CF03,18,0,0
8/29/11,CF,02,CF04,18,0,0
9/12/11,OR,01,OR02,15,0,0
9/12/11,OR,02,OR01,15,0,0
9/12/11,OR,03,OR04,15,0,0
9/12/11,CF,01,CF03,15,0,0
9/12/11,CF,02,CF04,15,0,0
9/12/11,CF,03,CF05,15,0,0
5/7/12,OR,01,OR02,13,0,0
5/7/12,OR,02,OR01,13,0,0
5/7/12,CF,01,CF04,13,0,0
5/7/12,CF,02,CF05,13,0,0
6/6/12,OR,01,OR06,30,0,0
6/6/12,OR,02,OR01,30,0,0
6/6/12,CF,01,CF03,30,0,0
6/23/12,OR,01,OR06,17,0,0
6/23/12,OR,02,OR01,17,0,0
6/23/12,OR,03,OR05,17,0,0
6/23/12,CF,01,CF03,17,0,0
7/2/12,OR,01,OR06,9,0,0
7/2/12,OR,02,OR01,9,0,0
7/2/12,OR,03,OR05,9,0,0
7/2/12,CF,01,CF03,9,0,0
7/17/12,OR,01,OR06,15,0,0
7/17/12,OR,02,OR01,15,0,0
7/17/12,OR,03,OR05,15,0,0
7/17/12,CF,01,CF03,15,0,0
7/30/12,OR,01,OR06,13,0,0
7/30/12,OR,02,OR01,13,0,0
7/30/12,OR,03,OR05,13,0,0
7/30/12,CF,01,CF03,13,0,0
8/7/12,OR,01,OR06,8,0,0
8/7/12,OR,02,OR01,8,0,0
8/7/12,OR,03,OR05,8,0,0
8/7/12,CF,01,CF03,8,0,0
8/21/12,OR,01,OR06,14,0,0
8/21/12,OR,02,OR01,14,0,0
8/21/12,OR,03,OR05,14,0,0
8/21/12,CF,01,CF03,14,0,0
9/6/12,OR,01,OR06,16,0,0
9/6/12,OR,02,OR01,16,0,0
9/6/12,OR,03,OR05,16,0,0
9/6/12,CF,01,CF03,16,0,0
6/6/13,OR,01,OR05,16,0,0
6/6/13,OR,02,OR01,16,0,0
6/6/13,OR,03,OR02,16,0,0
6/6/13,OR,04,OR06,16,0,0
6/6/13,CF,02,CF04,16,0,0
6/6/13,CF,03,CF06,16,0,0
6/6/13,CF,04,CF03,16,0,0
6/18/13,OR,01,OR06,12,0,0
6/18/13,OR,02,OR02,12,0,0
6/18/13,OR,03,OR01,12,0,0
6/18/13,OR,04,OR05,12,0,0
6/18/13,CF,01,CF03,12,0,0
