"","year","type","fit","se.fit","residuals","uprP","lwrP","uprCI","lwrCI","se.p","prediction_errorV2"
"1",1994,"Main_RecrDev",-0.174461284176166,0.142027592875607,0.284279284176166,0.253477309295383,-0.602399877647715,0.109593901575048,-0.45851646992738,0.218336017077321,0.354668337531215
"2",1995,"Main_RecrDev",0.14111704157302,0.141596601516529,0.0884889584269794,0.567757029384444,-0.285522946238403,0.424310244606078,-0.142076161460037,0.217673463169094,0.354495966225495
"3",1996,"Main_RecrDev",-0.606494789957088,0.188977084141139,0.150821789957088,-0.0370942534251252,-1.17589532648905,-0.22854062167481,-0.984448958239367,0.29051047782243,0.375938998827741
"4",1997,"Main_RecrDev",-0.117841402461322,0.227000438449312,0.056144702461323,0.56612603218009,-0.801808837102734,0.336159474437302,-0.571842279359947,0.348962976857863,0.396417698350234
"5",1998,"Main_RecrDev",0.342396957673819,0.220605985475386,0.0339110423261808,1.0070974797648,-0.322303564417166,0.783608928624591,-0.0988150132769531,0.339132919434176,0.392791030112302
"6",1999,"Main_RecrDev",0.365056727415578,0.214883146222567,0.0289712725844217,1.01251395381359,-0.282400498982434,0.794823019860711,-0.0647095650295555,0.330335319590822,0.389605645543832
"7",2000,"Main_RecrDev",0.276474982034922,0.125852761431395,0.424047017965078,0.655677731451591,-0.102727767381747,0.528180504897711,0.0247694591721325,0.193470790518709,0.348506398892509
"8",2001,"Main_RecrDev",0.0298917700461213,0.149888471819591,-0.110435670046121,0.481515715149906,-0.421732175057663,0.329668713685303,-0.269885173593061,0.230420380154992,0.357888734795508
"9",2002,"Main_RecrDev",-0.725785522799574,0.231383377617938,0.0864185227995738,-0.0286120006288491,-1.4229590449703,-0.263018767563699,-1.18855227803545,0.355700776617717,0.398943680169272
"10",2003,"Main_RecrDev",-0.211949355571399,0.135120553589457,-0.00435364442860048,0.195177868663212,-0.619076579806011,0.0582917516075144,-0.482190462750313,0.207717971548271,0.351959310874763
"11",2004,"Main_RecrDev",-0.155269798076687,0.138481119342319,0.0537717980766869,0.261983034516352,-0.572522630669726,0.121692440607952,-0.432232036761326,0.212884098261755,0.353263093067219
"12",2005,"Main_RecrDev",-0.53942847191431,0.196129603138325,-0.232177528085689,0.0515230805678787,-1.1303800243965,-0.147169265637659,-0.931687678190961,0.301505894123566,0.379584791234204
"13",2006,"Main_RecrDev",0.131896706826642,0.154136143662024,0.318430293173358,0.59631916999988,-0.332525756346597,0.44016899415069,-0.176375580497407,0.236950236312877,0.359688397494438
"14",2007,"Main_RecrDev",0.104482806587307,0.111608373668438,-0.570772806587307,0.440766267288847,-0.231800654114233,0.327699553924183,-0.118733940749569,0.171573194235479,0.343619297452909
"15",2008,"Main_RecrDev",0.547387453767392,0.182636201228598,0.310180546232609,1.09768248791055,-0.00290758037576899,0.912659856224587,0.182115051310196,0.280762772522021,0.372791864863398
"16",2009,"Main_RecrDev",-0.224784768204163,0.184646875081776,-0.427993231795836,0.331568560128443,-0.78113809653677,0.14450898195939,-0.594078518367716,0.283853738945207,0.373781033476261
"17",2010,"Main_RecrDev",0.220729967274004,0.119996192236755,0.368410032725995,0.582286483779312,-0.140826549231303,0.460722351747514,-0.0192624171995052,0.184467610461892,0.346434522905032
"18",2011,"Main_RecrDev",0.197883844717016,0.117549303446881,-0.513731844717016,0.55206772238561,-0.156300032951578,0.432982451610779,-0.0372147621767467,0.180706060034997,0.345594605354256
"19",2012,"Main_RecrDev",-0.0292562422795274,0.142095728608027,0.200776242279527,0.398887648690251,-0.457400133249306,0.254935214936526,-0.313447699495581,0.218440760698867,0.354695628106357
"20",2013,"Main_RecrDev",-0.0164839978816798,0.20295819380386,0.0323901978816804,0.595042552920458,-0.628010548683817,0.389432389726041,-0.4224003854894,0.312003342245989,0.383157697223013
"21",2014,"Main_RecrDev",0.259951588935889,0.201534409190364,-0.0552595889358895,0.867188181902582,-0.347285004030803,0.663020407316617,-0.143117229444838,0.309814588248312,0.382405426997089
"22",2015,"Main_RecrDev",-0.23561964308304,0.255313948973114,0.0331276430830393,0.533658283868197,-1.00489757003428,0.275008254863187,-0.746247541029267,0.392488738240427,0.413283201992729
"23",2016,"Main_RecrDev",-0.206453069553762,0.142246714443219,0.0545360695537614,0.222145751790023,-0.635051890897547,0.0780403593326754,-0.490946498440199,0.218672868032544,0.354756141989124
"24",2017,"Main_RecrDev",-0.677009563509078,0.21329347574066,0.0797735635090769,-0.0343421201126436,-1.31967700690551,-0.250422612027759,-1.1035965149904,0.327891552753283,0.388731140124699
"25",2018,"Main_RecrDev",-0.180196555730774,0.128272156281198,-0.581040444269226,0.206295991450644,-0.566689102912193,0.0763477568316223,-0.436740868293171,0.19719007509256,0.349387376111595
"26",2019,"Late_RecrDev",-0.42525378165314,0.302393444888536,-0.108714218346859,0.485877801024285,-1.33638536433057,0.179533108123932,-1.03004067143021,0.464863052386441,0.44391394213369
